Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
pompe a gasoil,36,0,2400,13,0.29,https://cuve-expert.fr/35-g-pompe-electrique-gnr-fioul-gasoil,0,0,0.00,1,6850000,"[54,54,54,65,54,54,65,43,54,65,43,65]",2025-05-25,"Image pack, Reviews, Video, Image, Ads bottom, Shopping ads, People also ask, Popular products, Related searches","informational, transactional",Organic
cuve pour jardin,50,0,50,27,0.26,https://cuve-expert.fr/233-cuve-a-eau-10000l,0,0,0.00,1,6740000,"[81,81,18,100,18,18,18,18,18,18,18,100]",2025-05-25,"Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches",transactional,Organic
recupérateur eau de pluie,80,75,1300,30,0.14,https://cuve-expert.fr/11-e-cuve-eau,0,0,0.00,1,5690,"[10,44,16,29,19,7,10,5,3,12,16,23]",2025-05-25,"Image pack, Sitelinks, Video, Shopping ads, People also ask, Popular products, Related searches","informational, transactional",Organic
crepine filtre,1,1,70,12,0.39,https://cuve-expert.fr/e-crepine-clapet/4086-e-crepine-filtre-inox-raccord-diam20.html,5,0.03,1.00,1,72,"[34,43,15,15,28,28,12,21,15,9,28,43]",2025-05-25,"Image pack, Reviews, Video, People also ask, Popular products, Related searches","informational, transactional",Image pack
où acheter de l'adblue,48,32,70,28,0.00,https://cuve-expert.fr/blog/prix-adblue/,0,0,0.00,0,3370000,"[15,21,21,100,21,15,12,15,15,15,12,9]",2025-05-25,"Local pack, Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",transactional,Organic
où acheter de l'adblue,42,0,70,28,0.00,https://cuve-expert.fr/pompe-adblue-electrique-12v24v/3605-a-pompe-station-adblue-12v-35l-min-pistolet-automatique.html,0,0,0.00,0,3370000,"[15,21,21,100,21,15,12,15,15,15,12,9]",2025-05-25,"Local pack, Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",transactional,Organic
fabricant materiel agricole france,56,56,70,49,0.00,https://cuve-expert.fr/blog/quelles-sont-les-marques-de-tracteurs-francais/,0,0,0.00,0.02,5290000,"[18,18,100,45,36,100,81,63,45,63,100,100]",2025-05-25,"Local pack, Sitelinks, People also ask, Related searches",informational,Organic
pompe irrigation,43,74,210,8,0.40,https://cuve-expert.fr/blog/differences-pompe-d-arrosage-et-pompe-eau/,0,0,0.00,0.94,3590000,"[66,54,54,66,54,22,22,18,18,22,43,66]",2025-05-25,"Image pack, Reviews, Video, Popular products, Related searches",informational,Organic
accélérateur chauffage,53,48,90,13,0.16,https://cuve-expert.fr/blog/remplacer-circulateur/,0,0,0.00,1,3190000,"[23,19,19,14,9,52,52,100,80,80,52,33]",2025-05-25,"Image pack, Reviews, Video, Video Carousel, People also ask, Related searches",commercial,Organic
marque de tracteur,6,6,1300,19,0.00,https://cuve-expert.fr/blog/quelles-sont-les-marques-de-tracteurs-francais/,24,0.17,0.00,0,10400000,"[68,52,52,52,68,68,68,68,68,52,52,68]",2025-05-25,"Video, Featured snippet, Image, People also ask, Popular products, Related searches, Short videos",commercial,Organic
cuve à eau 5000 l,1,1,50,4,0.75,https://cuve-expert.fr/229-cuve-a-eau-5000l,6,0.04,4.00,1,95,"[17,11,7,5,5,5,2,3,2,2,2,2]",2025-05-25,"Reviews, Video, Shopping ads, Popular products, Related searches","informational, transactional",Organic
pompe de cave automatique,58,36,110,15,0.23,https://cuve-expert.fr/blog/guide-complet-pompes-vide-cave/,0,0,0.00,1,2170000,"[53,34,26,34,26,26,80,42,34,65,26,11]",2025-05-25,"Reviews, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
pompe de cave automatique,44,0,110,15,0.23,https://cuve-expert.fr/107-e-pompe-vide-cave-serpilliere,0,0,0.00,1,2170000,"[53,34,26,34,26,26,80,42,34,65,26,11]",2025-05-25,"Reviews, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
eaux usées pompe de relevage,59,48,3600,19,0.44,https://cuve-expert.fr/blog/guide-pompe-relevage/,0,0,0.00,1,303000,"[81,66,66,53,66,81,81,81,53,100,35,100]",2025-05-25,"Image pack, Reviews, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
pompe vide piscine,7,10,1300,16,0.22,https://cuve-expert.fr/blog/vider-piscine-pompe-vide-cave/,11,0.08,2.00,1,5860000,"[65,65,100,82,65,65,44,24,13,16,20,34]",2025-05-25,"Sitelinks, Reviews, Video, People also ask, Popular products, Related searches",commercial,Organic
pompe vide piscine,1,1,1300,16,0.22,https://cuve-expert.fr/blog/vider-piscine-pompe-vide-cave/,85,0.61,18.00,1,5860000,"[65,65,100,82,65,65,44,24,13,16,20,34]",2025-05-25,"Sitelinks, Reviews, Video, People also ask, Popular products, Related searches",commercial,People also ask
direct cuve,21,16,320,17,1.27,https://cuve-expert.fr/g-cuve-gnr-fioul-gasoil-1500l/3767-g-cuve-stockage-gnr-fioul-interieur-pehd-1500l-pre-equipee.html,0,0,0.00,0.8,80,"[100,54,54,66,0,23,44,28,44,44,66,66]",2025-05-25,"Image pack, Sitelinks, Video, Related searches",navigational,Organic
direct cuve,16,0,320,17,1.27,https://cuve-expert.fr/g-cuve-gnr-fioul-gasoil-700-750l/3784-g-cuve-stockage-gnr-fioul-interieur-pehd-750l-pre-equipee.html,0,0,0.00,0.8,80,"[100,54,54,66,0,23,44,28,44,44,66,66]",2025-05-25,"Image pack, Sitelinks, Video, Related searches",navigational,Organic
pompe pour machine a laver,37,23,590,12,0.20,https://cuve-expert.fr/blog/pompe-relevage-machine-laver/,0,0,0.00,1,14200000,"[48,48,59,48,72,72,72,72,59,72,39,48]",2025-05-25,"Image pack, Reviews, Video, People also ask, Popular products, Related searches",commercial,Organic
cuve à eau,49,0,1600,24,0.37,https://cuve-expert.fr/228-cuves-eau-enterrables,0,0,0.00,1,17700000,"[66,52,44,44,44,36,27,27,24,36,44,52]",2025-05-25,"Sitelinks, Reviews, Video, Shopping ads, Popular products, Related searches","informational, transactional",Organic
cuve à eau,2,1,1600,24,0.37,https://cuve-expert.fr/11-e-cuve-eau,131,0.95,48.00,1,17700000,"[66,52,44,44,44,36,27,27,24,36,44,52]",2025-05-25,"Sitelinks, Reviews, Video, Shopping ads, Popular products, Related searches","informational, transactional",Organic
pompe à eau thermique,57,0,720,10,0.21,https://cuve-expert.fr/50-e-motopompe,0,0,0.00,1,13400000,"[41,41,41,41,41,20,24,20,13,30,24,36]",2025-05-25,"Reviews, Video, Ads bottom, Shopping ads, Related searches",transactional,Organic
